"venueid","lookupsymbol","securityexchange","currency","securityid","bloombergexchcode"
CAN_Composite,VXTR CN Equity,TO,CAD,CA9290821052,CN
DEU_Composite,VY3 GR Equity,DEU,EUR,CA25380E1060,GR
US_Composite,VTGDF US Equity,US,USD,KYG932051132,UN
US_Composite,VTGDF US Equity,US,USD,KYG932051132,US
DEU_Composite,W6Q GR Equity,DEU,EUR,FR00140062B9,GR
DEU_Composite,W5E GR Equity,DEU,EUR,AU000000PEX5,GR
DEU_Composite,VTLN GR Equity,DEU,EUR,CH0012335540,GR
DEU_Composite,WA2 GR Equity,DEU,EUR,BMG1739E1084,GR
US_Composite,VSYS US Equity,US,USD,US92829M1071,UN
US_Composite,VSYS US Equity,US,USD,US92829M1071,US
DEU_Composite,VT4 GR Equity,DEU,EUR,US57778N3070,GR
AUS_Composite,WA8 AU Equity,AX,AUD,AU0000267874,AU
IN_Composite,WAA IN Equity,IN,INR,INE799N01012,IN
US_Composite,VRCA US Equity,US,USD,US92511W2070,UN
US_Composite,VRCA US Equity,US,USD,US92511W2070,US
CAN_Composite,VRNO CN Equity,TO,CAD,CA92338D1015,CN
US_Composite,VRNT US Equity,US,USD,US92343X1000,UN
US_Composite,VRNT US Equity,US,USD,US92343X1000,US
CAN_Composite,VOY CN Equity,TO,CAD,CA92918D1096,CN
US_Composite,VOYJF US Equity,US,USD,FI4000074984,UN
US_Composite,VOYJF US Equity,US,USD,FI4000074984,US
BZ_Composite,W1AB34 BZ Equity,BZ,BRL,BRW1ABBDR005,BZ
BZ_Composite,W1BO34 BZ Equity,BZ,BRL,BRW1BOBDR006,BZ
US_Composite,VSQTF US Equity,US,USD,CA92650P1045,UN
US_Composite,VSQTF US Equity,US,USD,CA92650P1045,US
US_Composite,VSRV US Equity,US,USD,US92862A1016,UN
US_Composite,VSRV US Equity,US,USD,US92862A1016,US
MXN_Composite,VTR* MM Equity,MX,MXN,US92276F1003,MM
US_Composite,VTRO US Equity,US,USD,US9285014026,UN
US_Composite,VTRO US Equity,US,USD,US9285014026,US
MXN_Composite,WACE242D MM Equity,MX,MXN,MX1RWA020035,MM
DEU_Composite,W8F GR Equity,DEU,EUR,EE3100076407,GR
MXN_Composite,VRT* MM Equity,MX,MXN,US92537N1081,MM
CAN_Composite,VSBY CN Equity,TO,CAD,CA91834N6054,CN
IN_Composite,VSCL IN Equity,IN,INR,INE918N01018,IN
US_Composite,VVPPS US Equity,US,USD,US74984L8019,UN
US_Composite,VVPPS US Equity,US,USD,US74984L8019,US
DEU_Composite,W8N GR Equity,DEU,EUR,US03842K3095,GR
DEU_Composite,W8V0 GR Equity,DEU,EUR,SGXE34582291,GR
CAN_Composite,VROY CN Equity,TO,CAD,CA92859L2012,CN
US_Composite,VTMX US Equity,US,USD,US92540K1097,UN
