"venueid","lookupsymbol","securityexchange","currency","securityid","bloombergexchcode"
DEU_Composite,MZ60 GR Equity,DEU,EUR,AU0000365637,GR
DEU_Composite,MZ8A GR Equity,DEU,EUR,US60687Y1091,GR
DEU_Composite,N2L GR Equity,DEU,EUR,KYG642571015,GR
MXN_Composite,MTTR* MM Equity,MX,MXN,US5770961002,MM
DEU_Composite,N1A GR Equity,DEU,EUR,NO0010205966,GR
US_Composite,MYLUY US Equity,US,USD,US5610722085,UN
US_Composite,MYLUY US Equity,US,USD,US5610722085,US
DEU_Composite,MUQ GR Equity,DEU,EUR,US6267171022,GR
MXN_Composite,MUX* MM Equity,MX,MXN,US58039P3055,MM
IN_Composite,MUZALI IN Equity,IN,INR,INE873S01022,IN
DEU_Composite,N0X0 GR Equity,DEU,EUR,US65343F1057,GR
DEU_Composite,N13 GR Equity,DEU,EUR,CA63010G1000,GR
DEU_Composite,N9C GR Equity,DEU,EUR,GRS484003009,GR
CAN_Composite,MEG CN Equity,TO,CAD,CA5527041084,CN
IN_Composite,MEDI IN Equity,IN,INR,INE442D01010,IN
US_Composite,MGAWY US Equity,US,USD,US58517W1036,UN
US_Composite,MGAWY US Equity,US,USD,US58517W1036,US
DEU_Composite,MEN GR Equity,DEU,EUR,KYG2947D1060,GR
US_Composite,MEGDF US Equity,US,USD,AU0000105025,UN
US_Composite,MEGDF US Equity,US,USD,AU0000105025,US
DEU_Composite,MG1 GR Equity,DEU,EUR,US55277P1049,GR
DEU_Composite,MG8 GR Equity,DEU,EUR,US5805891091,GR
US_Composite,METOF US Equity,US,USD,AU000000MEI3,UN
US_Composite,METOF US Equity,US,USD,AU000000MEI3,US
ESP_Composite,MEL SM Equity,ESP,EUR,ES0176252718,SM
DEU_Composite,MFU0 GR Equity,DEU,EUR,US60683M1099,GR
DEU_Composite,MFZ GR Equity,DEU,EUR,JP3902900004,GR
CAN_Composite,META CN Equity,TO,CAD,CA59101A1012,CN
IN_Composite,METAINFO IN Equity,IN,INR,INE162901016,IN
US_Composite,MERG US Equity,US,USD,US5895182088,UN
US_Composite,MERG US Equity,US,USD,US5895182088,US
US_Composite,MERR US Equity,US,USD,US5904192060,UN
US_Composite,MERR US Equity,US,USD,US5904192060,US
US_Composite,MGYXY US Equity,US,USD,US6084641033,UN
US_Composite,MGYXY US Equity,US,USD,US6084641033,US
IN_Composite,MGTP IN Equity,IN,INR,INE805B01012,IN
AUS_Composite,MEZ AU Equity,AX,AUD,NZMELE0002S7,AU
CAN_Composite,METG CN Equity,TO,CAD,CA59103M1032,CN
MXN_Composite,MET* MM Equity,MX,MXN,US59156R1086,MM
MXN_Composite,METSO MM Equity,MX,MXN,FI0009014575,MM
US_Composite,MGFX US Equity,US,USD,US6090812032,UN
US_Composite,MGFX US Equity,US,USD,US6090812032,US
US_Composite,MGRX US Equity,US,USD,US56270V2051,UN
US_Composite,MGRX US Equity,US,USD,US56270V2051,US
DEU_Composite,MEOD GR Equity,DEU,EUR,US1500421094,GR
US_Composite,MG US Equity,US,USD,US60649T1079,UN
US_Composite,MG US Equity,US,USD,US60649T1079,US
DEU_Composite,MI5 GR Equity,DEU,EUR,CA6025321036,GR
AUS_Composite,MGTXX AU Equity,AX,AUD,AU0000150310,AU
US_Composite,MEDD US Equity,US,USD,US58458L1089,UN
US_Composite,MEDD US Equity,US,USD,US58458L1089,US
IN_Composite,MEDEX IN Equity,IN,INR,INE637S01013,IN
IN_Composite,MESCON IN Equity,IN,INR,INE170N01016,IN
IN_Composite,MERS IN Equity,IN,INR,INE963B01019,IN
US_Composite,MHO US Equity,US,USD,US55305B1017,UN
US_Composite,MHO US Equity,US,USD,US55305B1017,US
IN_Composite,MHOLPP IN Equity,IN,INR,IN9272E01025,IN
XBKK,RICHY TB Equity,XBKK,THB,TH5712010005,TB
XBKK,RICHY TB Equity,XBKK,THB,TH5712010005,TB
IN_Composite,MHPM IN Equity,IN,INR,INE388C01017,IN
DEU_Composite,MIL GR Equity,DEU,EUR,US60685L2088,GR
DEU_Composite,MILA GR Equity,DEU,EUR,JP3362700001,GR
BZ_Composite,MERC4 BZ Equity,BZ,BRL,BRMERCACNPR9,BZ
MXN_Composite,MEGN MM Equity,MX,MXN,CA5527041084,MM
MXN_Composite,MHK* MM Equity,MX,MXN,US6081901042,MM
CAN_Composite,MEX CN Equity,TO,CAD,CA5928192056,CN
US_Composite,MENB US Equity,US,USD,US5865791041,UN
US_Composite,MENB US Equity,US,USD,US5865791041,US
US_Composite,MENEF US Equity,US,USD,CA58680T1012,UN
US_Composite,MENEF US Equity,US,USD,CA58680T1012,US
US_Composite,MENI US Equity,US,USD,US60741J1060,UN
US_Composite,MENI US Equity,US,USD,US60741J1060,US
US_Composite,MHEYF US Equity,US,USD,SE0008374383,UN
US_Composite,MHEYF US Equity,US,USD,SE0008374383,US
DEU_Composite,MHG GR Equity,DEU,EUR,US60855R1005,GR
IN_Composite,MHGA IN Equity,IN,INR,INE068B01017,IN
IN_Composite,MEDIORG IN Equity,IN,INR,INE0PE401018,IN
AUS_Composite,MGX AU Equity,AX,AUD,AU000000MGX7,AU
US_Composite,MGXMF US Equity,US,USD,CA55303L1013,UN
US_Composite,MGXMF US Equity,US,USD,CA55303L1013,US
CAN_Composite,MHC/U CN Equity,TO,USD,CA33843T1084,CN
US_Composite,MEPDF US Equity,US,USD,JP3268950007,UN
US_Composite,MEPDF US Equity,US,USD,JP3268950007,US
US_Composite,MEQYF US Equity,US,USD,CA5609151009,UN
US_Composite,MEQYF US Equity,US,USD,CA5609151009,US
US_Composite,MEDVF US Equity,US,USD,CA58503M4083,UN
US_Composite,MEDVF US Equity,US,USD,CA58503M4083,US
US_Composite,MIRAF US Equity,US,USD,JP3048370005,UN
US_Composite,MIRAF US Equity,US,USD,JP3048370005,US
IN_Composite,MGDH IN Equity,IN,INR,INE347W01011,IN
US_Composite,MHVIY US Equity,US,USD,US6067934041,UN
US_Composite,MHVIY US Equity,US,USD,US6067934041,US
IN_Composite,MGLFL IN Equity,IN,INR,INE183F01015,IN
US_Composite,MGLI US Equity,US,USD,US5590723012,UN
US_Composite,MGLI US Equity,US,USD,US5590723012,US
DEU_Composite,MHL GR Equity,DEU,EUR,US78409V1044,GR
DEU_Composite,MHL0 GR Equity,DEU,EUR,CA78525L1058,GR
US_Composite,MIGI US Equity,US,USD,US57778N3070,UN
US_Composite,MIGI US Equity,US,USD,US57778N3070,US
IN_Composite,MFSR IN Equity,IN,INR,INE348D01019,IN
DEU_Composite,MFU GR Equity,DEU,EUR,JP3893200000,GR
MXN_Composite,MFEAN MM Equity,MX,MXN,NL0015001OI1,MM
IN_Composite,MHSC IN Equity,IN,INR,INE288A01013,IN
DEU_Composite,MHSE GR Equity,DEU,EUR,US5838405091,GR
DEU_Composite,MHT GR Equity,DEU,EUR,US5627501092,GR
IN_Composite,MGCF IN Equity,IN,INR,INE153K01018,IN
US_Composite,MGCV US Equity,US,USD,US5527731039,UN
US_Composite,MGCV US Equity,US,USD,US5527731039,US
US_Composite,MEKTF US Equity,US,USD,JP3332510001,UN
US_Composite,MEKTF US Equity,US,USD,JP3332510001,US
MXN_Composite,MFCN MM Equity,MX,MXN,CA56501R1064,MM
US_Composite,MFCSF US Equity,US,USD,CA58457V5036,UN
US_Composite,MFCSF US Equity,US,USD,CA58457V5036,US
US_Composite,MGOND US Equity,US,USD,US58517C4042,UN
US_Composite,MGOND US Equity,US,USD,US58517C4042,US
US_Composite,MIKAF US Equity,US,USD,ID1000135700,UN
US_Composite,MIKAF US Equity,US,USD,ID1000135700,US
US_Composite,MFMLF US Equity,US,USD,CA45968V1067,UN
US_Composite,MFMLF US Equity,US,USD,CA45968V1067,US
MXN_Composite,MFRISCOA MM Equity,MX,MXN,MX01MF010000,MM
IN_Composite,MIDPOLY IN Equity,IN,INR,INE046M01036,IN
IN_Composite,MGEL IN Equity,IN,INR,INE0APB01032,IN
BZ_Composite,MGEL4 BZ Equity,BZ,BRL,BRMGELACNPR3,BZ
US_Composite,MGSTF US Equity,US,USD,CA59103M1032,UN
US_Composite,MGSTF US Equity,US,USD,CA59103M1032,US
US_Composite,MIRM US Equity,US,USD,US6047491013,UN
US_Composite,MIRM US Equity,US,USD,US6047491013,US
US_Composite,MIDD US Equity,US,USD,US5962781010,UN
US_Composite,MIDD US Equity,US,USD,US5962781010,US
US_Composite,MHUA US Equity,US,USD,KYG5966G1082,UN
US_Composite,MHUA US Equity,US,USD,KYG5966G1082,US
US_Composite,MGAFF US Equity,US,USD,CA58516W1041,UN
US_Composite,MGAFF US Equity,US,USD,CA58516W1041,US
US_Composite,MICLF US Equity,US,USD,SE0025158629,UN
US_Composite,MICLF US Equity,US,USD,SE0025158629,US
IN_Composite,MELL IN Equity,IN,INR,INE947G01011,IN
AUS_Composite,MEM AU Equity,AX,AUD,AU000000MEM5,AU
BZ_Composite,MELI34 BZ Equity,BZ,BRL,BRMELIBDR006,BZ
IN_Composite,MEHUL IN Equity,IN,INR,INE1KH601014,IN
DEU_Composite,MIH0 GR Equity,DEU,EUR,US6067934041,GR
IN_Composite,MIHI IN Equity,IN,INR,INE779Q01017,IN
US_Composite,MFAIF US Equity,US,USD,KYG6141X1079,UN
US_Composite,MFAIF US Equity,US,USD,KYG6141X1079,US
CAN_Composite,MHI CN Equity,TO,CAD,CA60283T2074,CN
US_Composite,MHIFF US Equity,US,USD,CA60283T2074,UN
US_Composite,MHIFF US Equity,US,USD,CA60283T2074,US
DEU_Composite,MX7A GR Equity,DEU,EUR,HK0200030994,GR
US_Composite,MXCEF US Equity,US,USD,AU000000MCE6,UN
US_Composite,MXCEF US Equity,US,USD,AU000000MCE6,US
US_Composite,MWBUS US Equity,US,USD,US5759521066,UN
US_Composite,MWBUS US Equity,US,USD,US5759521066,US
US_Composite,MVXTS US Equity,US,USD,US57642C8753,UN
US_Composite,MVXTS US Equity,US,USD,US57642C8753,US
US_Composite,MVYKS US Equity,US,USD,US57642C6021,UN
US_Composite,MVYKS US Equity,US,USD,US57642C6021,US
DEU_Composite,MW1A GR Equity,DEU,EUR,US5771281012,GR
DEU_Composite,N4U GR Equity,DEU,EUR,IE00028FXN24,GR
US_Composite,MTWKS US Equity,US,USD,US57652F1075,UN
US_Composite,MTWKS US Equity,US,USD,US57652F1075,US
US_Composite,MTWSS US Equity,US,USD,US57642B7608,UN
US_Composite,MTWSS US Equity,US,USD,US57642B7608,US
DEU_Composite,N7T GR Equity,DEU,EUR,CA67077M1086,GR
DEU_Composite,MV90 GR Equity,DEU,EUR,US02390A1016,GR
US_Composite,MVARS US Equity,US,USD,US57641C6295,UN
US_Composite,MVARS US Equity,US,USD,US57641C6295,US
US_Composite,MVAUS US Equity,US,USD,US57641C7517,UN
US_Composite,MVAUS US Equity,US,USD,US57641C7517,US
US_Composite,MVLTS US Equity,US,USD,US57642B5701,UN
US_Composite,MVLTS US Equity,US,USD,US57642B5701,US
CAN_Composite,MVMD CN Equity,TO,CAD,CA62430M1014,CN
AUS_Composite,MYS AU Equity,AX,AUD,AU000000MYS0,AU
US_Composite,MYSL US Equity,US,USD,US6284491007,UN
US_Composite,MYSL US Equity,US,USD,US6284491007,US
US_Composite,MWHCS US Equity,US,USD,US57641C5792,UN
US_Composite,MWHCS US Equity,US,USD,US57641C5792,US
DEU_Composite,N6K GR Equity,DEU,EUR,CA13561D1050,GR
DEU_Composite,N77 GR Equity,DEU,EUR,CA17965L1004,GR
DEU_Composite,MTT GR Equity,DEU,EUR,US5770811025,GR
IN_Composite,MYPC IN Equity,IN,INR,INE741A01011,IN
DEU_Composite,N4RN GR Equity,DEU,EUR,NL0012365084,GR
DEU_Composite,N040 GR Equity,DEU,EUR,US67022C3043,GR
DEU_Composite,N07A GR Equity,DEU,EUR,CA7026573054,GR
DEU_Composite,N0F GR Equity,DEU,EUR,FI4000400262,GR
DEU_Composite,N3F GR Equity,DEU,EUR,GB0061284906,GR
CAN_Composite,MYID CN Equity,TO,CAD,CA7594021007,CN
US_Composite,MYITF US Equity,US,USD,JP3924000007,UN
US_Composite,MYITF US Equity,US,USD,JP3924000007,US
DEU_Composite,N8I GR Equity,DEU,EUR,CA04017M2031,GR
DEU_Composite,N0R GR Equity,DEU,EUR,GB0033877555,GR
DEU_Composite,MZB GR Equity,DEU,EUR,US5927701012,GR
US_Composite,MVNT US Equity,US,USD,US62460A1007,UN
US_Composite,MVNT US Equity,US,USD,US62460A1007,US
US_Composite,MZWAF US Equity,US,USD,JP3860250004,UN
US_Composite,MZWAF US Equity,US,USD,JP3860250004,US
US_Composite,MVVYF US Equity,US,USD,CA61634Q1081,UN
US_Composite,MVVYF US Equity,US,USD,CA61634Q1081,US
US_Composite,MYFW US Equity,US,USD,US33751L1052,UN
US_Composite,MYFW US Equity,US,USD,US33751L1052,US
DEU_Composite,N1R GR Equity,DEU,EUR,AU0000048001,GR
BZ_Composite,N1SC34 BZ Equity,BZ,BRL,BRN1SCBDR006,BZ
DEU_Composite,N2V GR Equity,DEU,EUR,US63888U1088,GR
BZ_Composite,N2VC34 BZ Equity,BZ,BRL,BRN2VCBDR008,BZ
DEU_Composite,N33 GR Equity,DEU,EUR,SE0006342333,GR
US_Composite,MWQHS US Equity,US,USD,US57642U1079,UN
US_Composite,MWQHS US Equity,US,USD,US57642U1079,US
US_Composite,MWQMS US Equity,US,USD,US57651J1007,UN
US_Composite,MWQMS US Equity,US,USD,US57651J1007,US
DEU_Composite,MXN GR Equity,DEU,EUR,JP3882750007,GR
US_Composite,MTWTF US Equity,US,USD,JP3921260000,UN
US_Composite,MTWTF US Equity,US,USD,JP3921260000,US
US_Composite,MTWWS US Equity,US,USD,US57642C7011,UN
US_Composite,MTWWS US Equity,US,USD,US57642C7011,US
DEU_Composite,N8Q GR Equity,DEU,EUR,SE0023950795,GR
DEU_Composite,N97 GR Equity,DEU,EUR,FI0009007660,GR
AUS_Composite,MXO AU Equity,AX,AUD,AU0000116402,AU
US_Composite,MXRX US Equity,US,USD,US58403V2016,UN
US_Composite,MXRX US Equity,US,USD,US58403V2016,US
US_Composite,MZTFF US Equity,US,USD,IL0006954379,UN
US_Composite,MZTFF US Equity,US,USD,IL0006954379,US
US_Composite,MWKHS US Equity,US,USD,US57650Q1058,UN
US_Composite,MWKHS US Equity,US,USD,US57650Q1058,US
US_Composite,MWKJS US Equity,US,USD,US57642B6790,UN
US_Composite,MWKJS US Equity,US,USD,US57642B6790,US
US_Composite,MWKNS US Equity,US,USD,US57655H1005,UN
US_Composite,MWKNS US Equity,US,USD,US57655H1005,US
US_Composite,MWKPS US Equity,US,USD,US57642Q1067,UN
US_Composite,MWKPS US Equity,US,USD,US57642Q1067,US
DEU_Composite,MWX GR Equity,DEU,EUR,KYG6074A1085,GR
US_Composite,MWXES US Equity,US,USD,US57641Y7537,UN
US_Composite,MWXES US Equity,US,USD,US57641Y7537,US
US_Composite,MWXSS US Equity,US,USD,US57652R1014,UN
US_Composite,MWXSS US Equity,US,USD,US57652R1014,US
US_Composite,MWQVS US Equity,US,USD,US5759391031,UN
US_Composite,MWQVS US Equity,US,USD,US5759391031,US
US_Composite,MWQZS US Equity,US,USD,US5759681027,UN
US_Composite,MWQZS US Equity,US,USD,US5759681027,US
US_Composite,MWRES US Equity,US,USD,US57654H1014,UN
US_Composite,MWRES US Equity,US,USD,US57654H1014,US
US_Composite,MVTES US Equity,US,USD,US57641Y7388,UN
US_Composite,MVTES US Equity,US,USD,US57641Y7388,US
US_Composite,MVTGS US Equity,US,USD,US57642A2006,UN
US_Composite,MVTGS US Equity,US,USD,US57642A2006,US
US_Composite,MWOES US Equity,US,USD,US5759401012,UN
US_Composite,MWOES US Equity,US,USD,US5759401012,US
US_Composite,MWOJS US Equity,US,USD,US57652W1009,UN
US_Composite,MWOJS US Equity,US,USD,US57652W1009,US
US_Composite,MWONS US Equity,US,USD,US5759561070,UN
US_Composite,MWONS US Equity,US,USD,US5759561070,US
US_Composite,MWOPS US Equity,US,USD,US57651E1010,UN
US_Composite,MWOPS US Equity,US,USD,US57651E1010,US
US_Composite,MWKYS US Equity,US,USD,US57643C1062,UN
US_Composite,MWKYS US Equity,US,USD,US57643C1062,US
IN_Composite,MWL IN Equity,IN,INR,INE0JYY01011,IN
US_Composite,MYO US Equity,US,USD,US62857J2015,UN
US_Composite,MYO US Equity,US,USD,US62857J2015,US
US_Composite,MWAKS US Equity,US,USD,US5759461081,UN
US_Composite,MWAKS US Equity,US,USD,US5759461081,US
ESP_Composite,MVC SM Equity,ESP,EUR,ES0105122024,SM
CAN_Composite,MVD/H CN Equity,TO,CAD,CA58517E3014,CN
BZ_Composite,N1WL34 BZ Equity,BZ,BRL,BRN1WLBDR009,BZ
DEU_Composite,MZ4 GR Equity,DEU,EUR,GB0004657408,GR
US_Composite,MYTAY US Equity,US,USD,US5597761098,UN
US_Composite,MYTAY US Equity,US,USD,US5597761098,US
US_Composite,MYTEF US Equity,US,USD,MYL4863OO006,UN
US_Composite,MYTEF US Equity,US,USD,MYL4863OO006,US
US_Composite,MXTFS US Equity,US,USD,US57647Q1013,UN
US_Composite,MXTFS US Equity,US,USD,US57647Q1013,US
ARCX,"2587965D UP Equity",ARCX,USD,N/A,UP
ARCX,"2587965D UP Equity",ARCX,USD,N/A,UP
US_Composite,MXTRF US Equity,US,USD,CA6126484022,UN
US_Composite,MXTRF US Equity,US,USD,CA6126484022,US
DEU_Composite,N7E GR Equity,DEU,EUR,SG1T36930298,GR
BZ_Composite,N1VS34 BZ Equity,BZ,BRL,BRN1VSBDR006,BZ
ROCO,"6434 TT Equity",ROCO,TWD,TW0006434004,TT
US_Composite,MWROS US Equity,US,USD,US57649V1089,UN
US_Composite,MWROS US Equity,US,USD,US57649V1089,US
US_Composite,MWRQS US Equity,US,USD,US57654G1031,UN
US_Composite,MWRQS US Equity,US,USD,US57654G1031,US
US_Composite,MWTOS US Equity,US,USD,US5759641013,UN
US_Composite,MWTOS US Equity,US,USD,US5759641013,US
US_Composite,MXXOS US Equity,US,USD,US5759431050,UN
US_Composite,MXXOS US Equity,US,USD,US5759431050,US
CAN_Composite,MYCO CN Equity,TO,CAD,CA62849F2008,CN
US_Composite,MWORS US Equity,US,USD,US5766911094,UN
US_Composite,MWORS US Equity,US,USD,US5766911094,US
US_Composite,MWOTS US Equity,US,USD,US57651K1079,UN
US_Composite,MWOTS US Equity,US,USD,US57651K1079,US
US_Composite,MWOWS US Equity,US,USD,US57641C8507,UN
US_Composite,MWOWS US Equity,US,USD,US57641C8507,US
US_Composite,MWOYS US Equity,US,USD,US57651T1088,UN
US_Composite,MWOYS US Equity,US,USD,US57651T1088,US
US_Composite,MWPNS US Equity,US,USD,US57649P1012,UN
US_Composite,MWPNS US Equity,US,USD,US57649P1012,US
IN_Composite,MYM IN Equity,IN,INR,INE232L01018,IN
US_Composite,MYNDF US Equity,US,USD,CA62857B1094,UN
US_Composite,MYNDF US Equity,US,USD,CA62857B1094,US
US_Composite,MXL US Equity,US,USD,US57776J1007,UN
US_Composite,MXL US Equity,US,USD,US57776J1007,US
US_Composite,MWVFS US Equity,US,USD,US57641Y8030,UN
US_Composite,MWVFS US Equity,US,USD,US57641Y8030,US
US_Composite,MWDMS US Equity,US,USD,US57653R1005,UN
US_Composite,MWDMS US Equity,US,USD,US57653R1005,US
US_Composite,MHILF US Equity,US,USD,IL0002570146,UN
US_Composite,MHILF US Equity,US,USD,IL0002570146,US
AUS_Composite,MHJ AU Equity,AX,AUD,AU000000MHJ4,AU
US_Composite,MGIMF US Equity,US,USD,SE0018538068,UN
US_Composite,MGIMF US Equity,US,USD,SE0018538068,US
DEU_Composite,MGK GR Equity,DEU,EUR,IL0010823123,GR
US_Composite,MIAPF US Equity,US,USD,CA60448E1034,UN
US_Composite,MIAPF US Equity,US,USD,CA60448E1034,US
US_Composite,MISVF US Equity,US,USD,CA60254C1005,UN
US_Composite,MISVF US Equity,US,USD,CA60254C1005,US
IN_Composite,MIT IN Equity,IN,INR,INE0M5S23019,IN
IN_Composite,MIFL IN Equity,IN,INR,INE717C01025,IN
US_Composite,MEIUY US Equity,US,USD,US58532Q1076,UN
US_Composite,MEIUY US Equity,US,USD,US58532Q1076,US
US_Composite,MEJHF US Equity,US,USD,JP3918000005,UN
US_Composite,MEJHF US Equity,US,USD,JP3918000005,US
AUS_Composite,MEK AU Equity,AX,AUD,AU0000192726,AU
IN_Composite,MIEL IN Equity,IN,INR,INE0R3101011,IN
US_Composite,MIELY US Equity,US,USD,US6067762012,UN
US_Composite,MIELY US Equity,US,USD,US6067762012,US
US_Composite,MIESY US Equity,US,USD,US6068371029,UN
US_Composite,MIESY US Equity,US,USD,US6068371029,US
IN_Composite,MILL IN Equity,IN,INR,INE858Q01019,IN
IN_Composite,MILTON IN Equity,IN,INR,INE376Y01016,IN
US_Composite,MGPRF US Equity,US,USD,CA7279411069,UN
US_Composite,MGPRF US Equity,US,USD,CA7279411069,US
AUS_Composite,MGR AU Equity,AX,AUD,AU000000MGR9,AU
IN_Composite,MISL IN Equity,IN,INR,INE072D01015,IN
US_Composite,MIST US Equity,US,USD,CA59935V1076,UN
US_Composite,MIST US Equity,US,USD,CA59935V1076,US
US_Composite,MGGNF US Equity,US,USD,JP3926800008,UN
US_Composite,MGGNF US Equity,US,USD,JP3926800008,US
IN_Composite,MGHT IN Equity,IN,INR,INE664N01018,IN
IN_Composite,MFL IN Equity,IN,INR,INE244C01020,IN
US_Composite,MFLDF US Equity,US,USD,CA5777561096,UN
US_Composite,MFLDF US Equity,US,USD,CA5777561096,US
US_Composite,MFGCF US Equity,US,USD,CA57808L1076,UN
US_Composite,MFGCF US Equity,US,USD,CA57808L1076,US
US_Composite,MILFF US Equity,US,USD,CA68237A1093,UN
US_Composite,MILFF US Equity,US,USD,CA68237A1093,US
CAN_Composite,MILI CN Equity,TO,CAD,CA5997841054,CN
CAN_Composite,MINK CN Equity,TO,CAD,CA6037051043,CN
US_Composite,MINR US Equity,US,USD,US6033711051,UN
US_Composite,MINR US Equity,US,USD,US6033711051,US
US_Composite,MHH US Equity,US,USD,US57633B1008,UN
US_Composite,MHH US Equity,US,USD,US57633B1008,US
AUS_Composite,MHI AU Equity,AX,AUD,BMG5996M1091,AU
DEU_Composite,MIO GR Equity,DEU,EUR,IE00BD64C665,GR
IN_Composite,MITTAL IN Equity,IN,INR,INE997Y01027,IN
US_Composite,MITNF US Equity,US,USD,MYL5286OO009,UN
US_Composite,MITNF US Equity,US,USD,MYL5286OO009,US
CAN_Composite,MKA CN Equity,TO,CAD,CA60686A4090,CN
DEU_Composite,MIY GR Equity,DEU,EUR,US60649T1079,GR
US_Composite,MITEY US Equity,US,USD,US6067832070,UN
US_Composite,MITEY US Equity,US,USD,US6067832070,US
US_Composite,MITFY US Equity,US,USD,US60671Y1073,UN
US_Composite,MITFY US Equity,US,USD,US60671Y1073,US
US_Composite,MITJF US Equity,US,USD,CA60447G1090,UN
US_Composite,MITJF US Equity,US,USD,CA60447G1090,US
US_Composite,MLAB US Equity,US,USD,US59064R1095,UN
US_Composite,MLAB US Equity,US,USD,US59064R1095,US
US_Composite,MJNE US Equity,US,USD,US5530751024,UN
US_Composite,MJNE US Equity,US,USD,US5530751024,US
DEU_Composite,ML1 GR Equity,DEU,EUR,CA00289A1093,GR
DEU_Composite,ML40 GR Equity,DEU,EUR,BMG9833W1221,GR
DEU_Composite,MKU0 GR Equity,DEU,EUR,BMG6982M2028,GR
DEU_Composite,MKC0 GR Equity,DEU,EUR,SE0021020716,GR
DEU_Composite,MLZ GR Equity,DEU,EUR,CA58504D1006,GR
DEU_Composite,MM0 GR Equity,DEU,EUR,CZ0008040318,GR
DEU_Composite,MJE GR Equity,DEU,EUR,IT0001447785,GR
DEU_Composite,MJF GR Equity,DEU,EUR,US6284641098,GR
DEU_Composite,MIU0 GR Equity,DEU,EUR,US86562X1063,GR
US_Composite,MIUFY US Equity,US,USD,US60682L1026,UN
US_Composite,MIUFY US Equity,US,USD,US60682L1026,US
US_Composite,MLMLF US Equity,US,USD,CA58046P1080,UN
US_Composite,MLMLF US Equity,US,USD,CA58046P1080,US
US_Composite,MKSPS US Equity,US,USD,US57642B2088,UN
US_Composite,MKSPS US Equity,US,USD,US57642B2088,US
US_Composite,MKSZS US Equity,US,USD,US57649U1007,UN
US_Composite,MKSZS US Equity,US,USD,US57649U1007,US
US_Composite,MLCG US Equity,US,USD,US55314D3044,UN
US_Composite,MLCG US Equity,US,USD,US55314D3044,US
US_Composite,MLMHF US Equity,US,USD,IL0007310183,UN
US_Composite,MLMHF US Equity,US,USD,IL0007310183,US
CAN_Composite,MLKM CN Equity,TO,CAD,CA5784551072,CN
US_Composite,MLKNA US Equity,US,USD,US58502M1027,UN
US_Composite,MLKNA US Equity,US,USD,US58502M1027,US
US_Composite,MLIZY US Equity,US,USD,US60700Y1029,UN
US_Composite,MLIZY US Equity,US,USD,US60700Y1029,US
US_Composite,MLGO US Equity,US,USD,KYG6077Y4005,UN
US_Composite,MLGO US Equity,US,USD,KYG6077Y4005,US
US_Composite,MLI US Equity,US,USD,US6247561029,UN
US_Composite,MLI US Equity,US,USD,US6247561029,US
IN_Composite,MJS IN Equity,IN,INR,INE577A01027,IN
US_Composite,MLCMF US Equity,US,USD,SE0001174970,UN
US_Composite,MLCMF US Equity,US,USD,SE0001174970,US
DEU_Composite,MM6A GR Equity,DEU,EUR,US68404L2016,GR
IN_Composite,MLGF IN Equity,IN,INR,INE679T01013,IN
US_Composite,MKC US Equity,US,USD,US5797802064,UN
US_Composite,MKC US Equity,US,USD,US5797802064,US
US_Composite,MMGRF US Equity,US,USD,SE0017562523,UN
US_Composite,MMGRF US Equity,US,USD,SE0017562523,US
US_Composite,MLNK US Equity,US,USD,US58985J1051,UN
US_Composite,MLNK US Equity,US,USD,US58985J1051,US
CAN_Composite,MKZ-U CN Equity,TO,CAD,CA5549051095,CN
DEU_Composite,MJVC GR Equity,DEU,EUR,KYG9891U1334,GR
US_Composite,MJWNY US Equity,US,USD,US62983U1043,UN
US_Composite,MJWNY US Equity,US,USD,US62983U1043,US
CAN_Composite,MMG CN Equity,TO,CAD,CA59126M1068,CN
US_Composite,MMC US Equity,US,USD,US5717481023,UN
US_Composite,MMC US Equity,US,USD,US5717481023,US
US_Composite,MLTNF US Equity,US,USD,CA60872A2056,UN
US_Composite,MLTNF US Equity,US,USD,CA60872A2056,US
CAN_Composite,MIZA/P CN Equity,TO,CAD,CA60700R1073,CN
DEU_Composite,MJ0 GR Equity,DEU,EUR,US36468G1031,GR
DEU_Composite,MK30 GR Equity,DEU,EUR,DE000A3EX3J4,GR
DEU_Composite,MLT0 GR Equity,DEU,EUR,SE0025158629,GR
BZ_Composite,MMAQ4 BZ Equity,BZ,BRL,BRMMAQACNPR8,BZ
AUS_Composite,MMA AU Equity,AX,AUD,AU0000211609,AU
MXN_Composite,MKSI* MM Equity,MX,MXN,US55306N1046,MM
US_Composite,MKTW US Equity,US,USD,US57064P2065,UN
US_Composite,MKTW US Equity,US,USD,US57064P2065,US
US_Composite,MLACU US Equity,US,USD,KYG6301B1196,UN
US_Composite,MLACU US Equity,US,USD,KYG6301B1196,US
AUS_Composite,MLS AU Equity,AX,AUD,AU000000MLS7,AU
US_Composite,MLSRF US Equity,US,USD,IL0003230146,UN
US_Composite,MLSRF US Equity,US,USD,IL0003230146,US
US_Composite,MLYBY US Equity,US,USD,US56108H1059,UN
US_Composite,MLYBY US Equity,US,USD,US56108H1059,US
US_Composite,MKIN US Equity,US,USD,US58252P1075,UN
US_Composite,MKIN US Equity,US,USD,US58252P1075,US
US_Composite,MKKOF US Equity,US,USD,FI0009007660,UN
US_Composite,MKKOF US Equity,US,USD,FI0009007660,US
